Case_ID,Detection_Date,Region,Revenue_Stream,Fraud_Type,Is_Fraud_Confirmed,Detection_Time_Hours,Resolution_Time_Hours,Revenue_Loss_USD,Revenue_At_Risk_USD,Analyst_ID,Fraud_Prevented_USD
FRAUD1031,2023-02-24 23:02:09,Europe,Postpaid Data,Wangiri,1,2.5,25.1,25.37,283.77,3,0.0
FRAUD1032,2023-04-24 11:51:49,Europe,Postpaid Data,Simbox,1,1.5,42.5,75.79,110.95,4,0.0
FRAUD1033,2023-02-14 09:02:59,Asia,Postpaid Data,CLI Spoofing,1,8.7,5.4,64.73,55.26,3,0.0
FRAUD1034,2023-05-26 23:50:49,Europe,Prepaid Data,International Revenue Share Fraud,1,6.5,89.4,116.5,204.67,4,0.0
FRAUD1035,2023-09-21 04:22:24,Africa,Interconnect,Subscription Fraud,1,31.6,38.2,57.95,56.42,4,0.0
FRAUD1036,2023-12-23 02:24:37,Europe,Interconnect,International Revenue Share Fraud,1,18.9,16.8,185.84,242.95,2,0.0
FRAUD1037,2023-07-05 18:46:13,Asia,Postpaid Voice,Wangiri,0,30.3,5.9,221.76,152.57,14,152.57
FRAUD1038,2023-08-18 07:12:16,Africa,Prepaid Voice,International Revenue Share Fraud,1,18.1,22.5,24.52,227.19,1,0.0
FRAUD1039,2023-09-03 19:23:48,Asia,Postpaid Data,Subscription Fraud,1,0.9,3.2,210.39,118.14,8,0.0
FRAUD1040,2023-11-20 20:47:25,Asia,Postpaid Data,International Revenue Share Fraud,1,26.8,69.8,360.67,108.09,9,0.0
FRAUD1041,2023-02-20 06:24:10,Africa,Prepaid Voice,International Revenue Share Fraud,1,10.8,31.2,56.95,121.83,11,0.0
FRAUD1042,2023-04-27 08:11:39,Asia,Prepaid Data,Simbox,1,18.1,2.4,51.36,72.28,3,0.0
FRAUD1043,2023-01-17 23:08:48,Americas,Prepaid Data,CLI Spoofing,1,5.1,6.3,12.9,337.92,2,0.0
FRAUD1044,2023-07-05 01:18:09,Americas,Prepaid Data,CLI Spoofing,1,38.6,8.1,64.29,170.54,1,0.0
FRAUD1045,2023-12-01 23:04:31,Africa,Postpaid Voice,Wangiri,1,6.3,39.2,130.86,328.77,12,0.0
FRAUD1046,2023-04-06 23:35:14,Asia,Interconnect,CLI Spoofing,1,10.7,23.5,74.66,96.51,10,0.0
FRAUD1047,2023-08-11 02:04:34,Africa,Postpaid Data,Wangiri,1,8.9,40.9,94.19,174.97,13,0.0
FRAUD1048,2023-04-19 19:11:28,Americas,Postpaid Data,International Revenue Share Fraud,0,10.5,75.3,42.74,164.99,4,164.99
FRAUD1049,2023-06-03 21:45:13,Africa,Interconnect,International Revenue Share Fraud,1,12.6,36.4,193.93,357.97,8,0.0
FRAUD1050,2023-05-02 11:05:02,Europe,Prepaid Voice,CLI Spoofing,1,25.0,63.6,111.18,130.15,13,0.0
FRAUD1051,2023-04-05 14:56:56,Africa,Postpaid Voice,International Revenue Share Fraud,1,22.5,0.4,88.94,134.41,14,0.0
FRAUD1052,2023-04-20 21:14:00,Americas,Prepaid Voice,Simbox,1,31.8,8.7,101.72,140.15,10,0.0
FRAUD1053,2023-11-10 01:42:54,Europe,Postpaid Voice,International Revenue Share Fraud,1,12.4,13.4,100.03,177.67,1,0.0
FRAUD1054,2023-05-06 09:52:49,Asia,Interconnect,International Revenue Share Fraud,1,30.1,32.1,98.93,300.27,3,0.0
FRAUD1055,2023-09-07 18:27:32,Europe,Prepaid Voice,Simbox,1,2.1,52.1,64.14,52.9,9,0.0
FRAUD1056,2023-07-07 18:31:15,Europe,Interconnect,Simbox,0,0.8,9.4,80.36,215.39,3,215.39
FRAUD1057,2023-07-19 06:51:39,Africa,Interconnect,International Revenue Share Fraud,1,14.6,0.1,41.02,65.95,12,0.0
FRAUD1058,2023-11-08 04:48:10,Africa,Prepaid Data,Simbox,1,1.4,21.9,28.6,191.69,2,0.0
FRAUD1059,2023-10-08 07:49:50,Europe,Prepaid Voice,CLI Spoofing,1,6.1,43.8,176.3,210.38,6,0.0
FRAUD1060,2023-06-15 19:20:23,Asia,Prepaid Data,CLI Spoofing,1,7.1,33.0,220.62,79.06,10,0.0
FRAUD1061,2023-06-25 21:36:15,Africa,Interconnect,International Revenue Share Fraud,1,8.7,10.1,122.84,54.54,12,0.0
FRAUD1062,2023-01-04 17:17:04,Americas,Prepaid Voice,CLI Spoofing,1,4.5,25.2,116.2,181.68,14,0.0
FRAUD1063,2023-08-20 18:49:57,Europe,Interconnect,International Revenue Share Fraud,1,29.9,16.8,96.86,123.38,14,0.0
FRAUD1064,2023-11-04 10:14:00,Asia,Interconnect,Wangiri,0,4.3,6.1,81.14,112.57,8,112.57
FRAUD1065,2023-12-22 14:30:16,Americas,Interconnect,Subscription Fraud,1,10.8,43.5,217.47,90.69,1,0.0
FRAUD1066,2023-12-24 00:02:43,Asia,Prepaid Voice,Wangiri,1,32.8,4.6,80.2,77.29,10,0.0
FRAUD1067,2023-06-18 20:20:17,Africa,Prepaid Data,Subscription Fraud,1,12.9,0.8,110.11,261.42,4,0.0
FRAUD1068,2023-06-04 13:28:48,Asia,Interconnect,Subscription Fraud,1,27.3,85.2,190.0,221.56,5,0.0
FRAUD1069,2023-12-02 00:42:53,Americas,Prepaid Data,Wangiri,1,6.6,14.7,32.6,291.9,12,0.0
FRAUD1070,2023-12-14 17:05:05,Europe,Postpaid Voice,Subscription Fraud,1,0.4,12.8,219.35,282.86,6,0.0
FRAUD1071,2023-11-18 14:10:18,Europe,Prepaid Data,CLI Spoofing,0,29.1,4.0,350.56,34.83,3,34.83
FRAUD1072,2023-11-09 22:11:45,Asia,Postpaid Voice,CLI Spoofing,1,6.4,16.4,181.2,220.59,1,0.0
FRAUD1073,2023-09-29 18:11:31,Americas,Postpaid Voice,Simbox,1,25.8,15.7,96.97,85.84,1,0.0
FRAUD1074,2023-03-12 18:50:15,Europe,Prepaid Data,Simbox,1,10.5,54.2,16.7,171.28,3,0.0
FRAUD1075,2023-06-24 04:27:20,Americas,Prepaid Voice,Wangiri,1,38.0,20.0,128.57,100.64,9,0.0
FRAUD1076,2023-09-16 17:41:14,Asia,Prepaid Data,Subscription Fraud,1,12.2,96.0,6.51,43.19,1,0.0
FRAUD1077,2023-04-28 21:01:58,Africa,Prepaid Data,Wangiri,1,16.0,49.5,287.38,409.16,4,0.0
FRAUD1078,2023-08-22 17:07:48,Africa,Prepaid Data,International Revenue Share Fraud,0,4.3,1.1,71.08,78.2,14,78.2
FRAUD1079,2023-11-25 03:39:01,Americas,Postpaid Data,Simbox,0,6.3,57.4,107.36,326.87,11,326.87
FRAUD1080,2023-04-28 13:22:19,Asia,Interconnect,International Revenue Share Fraud,1,2.1,50.8,88.45,327.87,4,0.0
FRAUD1081,2023-07-01 23:26:34,Europe,Postpaid Data,Subscription Fraud,1,20.0,62.2,122.15,84.98,10,0.0
FRAUD1082,2023-02-08 12:58:19,Asia,Prepaid Voice,Wangiri,1,22.0,2.1,69.96,237.07,14,0.0
FRAUD1083,2023-08-27 23:16:39,Europe,Prepaid Voice,Wangiri,1,1.5,65.4,185.89,232.92,9,0.0
FRAUD1084,2023-03-16 15:20:05,Americas,Postpaid Data,Subscription Fraud,1,25.6,0.3,133.2,75.69,11,0.0
FRAUD1085,2023-06-05 13:15:11,Americas,Interconnect,CLI Spoofing,0,5.3,1.2,66.07,161.31,2,161.31
FRAUD1086,2023-04-25 11:09:12,Europe,Postpaid Data,Simbox,1,11.2,4.1,80.13,96.5,4,0.0
FRAUD1087,2023-05-09 12:19:00,Europe,Interconnect,Simbox,1,4.8,48.0,68.41,74.97,11,0.0
FRAUD1088,2023-08-02 02:46:41,Africa,Postpaid Data,Simbox,1,1.0,11.2,182.12,88.43,8,0.0
FRAUD1089,2023-03-21 22:38:45,Asia,Prepaid Data,Wangiri,1,6.9,6.8,10.4,70.76,13,0.0
FRAUD1090,2023-10-17 14:16:18,Americas,Postpaid Data,Wangiri,0,42.5,18.1,205.47,92.74,9,92.74
FRAUD1091,2023-05-11 07:07:21,Africa,Prepaid Data,Wangiri,1,18.4,32.8,23.22,140.97,10,0.0
FRAUD1092,2023-03-15 18:12:18,Europe,Postpaid Data,Wangiri,1,3.7,7.8,122.47,86.68,13,0.0
FRAUD1093,2023-04-29 19:48:51,Americas,Prepaid Voice,Wangiri,1,5.6,4.7,73.64,134.28,4,0.0
FRAUD1094,2023-06-13 02:40:45,Europe,Prepaid Voice,Subscription Fraud,1,5.6,4.3,23.79,188.33,6,0.0
FRAUD1095,2023-05-28 11:37:34,Asia,Prepaid Voice,Simbox,0,6.3,5.7,57.05,138.19,10,138.19
FRAUD1096,2023-02-11 17:55:51,Africa,Interconnect,International Revenue Share Fraud,1,6.6,16.8,88.75,112.05,12,0.0
FRAUD1097,2023-09-28 02:38:03,Africa,Postpaid Voice,Subscription Fraud,0,7.7,11.5,73.25,196.28,3,196.28
FRAUD1098,2023-08-27 09:01:19,Asia,Prepaid Voice,Simbox,1,17.4,12.3,97.45,29.79,12,0.0
FRAUD1099,2023-08-08 01:18:16,Americas,Prepaid Voice,International Revenue Share Fraud,0,26.5,41.6,9.32,348.56,4,348.56
FRAUD1100,2023-11-25 22:34:56,Europe,Interconnect,International Revenue Share Fraud,1,1.2,2.7,44.95,116.76,7,0.0
FRAUD1101,2023-11-28 05:02:09,Europe,Postpaid Voice,CLI Spoofing,1,5.7,9.1,6.42,93.2,2,0.0
FRAUD1102,2023-01-04 18:54:27,Asia,Interconnect,CLI Spoofing,1,12.0,9.2,194.75,103.38,7,0.0
FRAUD1103,2023-11-20 00:26:39,Europe,Postpaid Voice,Subscription Fraud,1,6.4,15.1,211.88,215.51,12,0.0
FRAUD1104,2023-09-14 11:26:40,Europe,Prepaid Voice,Wangiri,1,1.8,73.2,34.23,35.41,6,0.0
FRAUD1105,2023-06-30 18:00:38,Americas,Postpaid Data,Wangiri,1,24.3,32.3,67.04,151.74,12,0.0
FRAUD1106,2023-01-06 16:18:42,Americas,Postpaid Voice,Subscription Fraud,0,2.7,6.9,99.62,82.94,10,82.94
FRAUD1107,2023-02-10 19:51:15,Americas,Prepaid Data,International Revenue Share Fraud,1,22.5,15.4,45.33,108.71,11,0.0
FRAUD1108,2023-12-28 09:10:27,Europe,Interconnect,Wangiri,1,29.0,12.3,83.36,280.26,8,0.0
FRAUD1109,2023-09-02 14:16:59,Europe,Prepaid Data,Wangiri,1,2.3,39.2,99.58,129.81,9,0.0
FRAUD1110,2023-04-06 02:40:42,Europe,Postpaid Voice,Subscription Fraud,1,12.6,28.7,149.18,171.34,13,0.0
FRAUD1111,2023-03-07 09:50:35,Asia,Postpaid Data,Wangiri,1,2.7,42.9,77.61,34.97,6,0.0
FRAUD1112,2023-06-06 11:21:21,Africa,Postpaid Voice,Simbox,0,21.5,5.0,127.9,301.8,1,301.8
FRAUD1113,2023-02-13 10:27:20,Africa,Postpaid Data,Simbox,1,7.4,20.3,202.26,73.67,13,0.0
FRAUD1114,2023-08-08 02:01:15,Americas,Postpaid Voice,Simbox,1,21.4,12.6,166.78,160.15,2,0.0
FRAUD1115,2023-11-14 16:51:15,Asia,Prepaid Data,International Revenue Share Fraud,1,8.4,14.5,75.03,243.06,8,0.0
FRAUD1116,2023-10-07 23:48:25,Asia,Postpaid Voice,International Revenue Share Fraud,1,10.9,41.9,84.25,162.58,14,0.0
FRAUD1117,2023-06-13 16:06:08,Americas,Prepaid Data,Subscription Fraud,1,5.1,17.6,13.37,160.54,2,0.0
FRAUD1118,2023-12-06 23:30:07,Africa,Interconnect,Subscription Fraud,1,15.6,3.2,202.88,680.77,2,0.0
FRAUD1119,2023-07-08 03:45:13,Africa,Postpaid Voice,Simbox,1,1.2,6.3,83.19,103.12,8,0.0
FRAUD1120,2023-06-07 07:48:07,Americas,Postpaid Voice,CLI Spoofing,1,2.3,21.2,93.95,217.0,5,0.0
FRAUD1121,2023-01-08 23:49:04,Asia,Prepaid Voice,Simbox,1,5.9,24.6,58.91,171.86,9,0.0
FRAUD1122,2023-07-11 21:27:14,Asia,Interconnect,Simbox,1,3.3,23.0,14.93,145.45,13,0.0
FRAUD1123,2023-05-14 19:57:52,Americas,Postpaid Voice,CLI Spoofing,1,24.8,72.9,42.26,265.98,14,0.0
FRAUD1124,2023-03-29 12:35:34,Americas,Prepaid Data,CLI Spoofing,1,1.3,39.3,5.05,71.99,12,0.0
FRAUD1125,2023-01-28 00:12:14,Europe,Prepaid Data,CLI Spoofing,1,9.4,17.5,21.4,192.49,3,0.0
FRAUD1126,2023-01-13 01:54:37,Europe,Postpaid Data,Wangiri,1,2.5,26.7,55.24,160.07,2,0.0
FRAUD1127,2023-12-14 10:56:56,Americas,Postpaid Data,Subscription Fraud,0,1.0,64.9,113.96,187.29,12,187.29
FRAUD1128,2023-06-19 16:42:12,Europe,Postpaid Data,Wangiri,1,7.5,3.6,281.49,174.3,2,0.0
FRAUD1129,2023-11-30 16:29:42,Americas,Postpaid Voice,Subscription Fraud,0,21.9,9.5,88.37,279.66,9,279.66
FRAUD1130,2023-01-10 12:06:21,Americas,Prepaid Voice,Wangiri,1,0.8,10.3,16.13,150.85,13,0.0
FRAUD1131,2023-02-15 08:47:46,Americas,Prepaid Voice,Simbox,1,1.9,28.9,88.07,201.66,10,0.0
FRAUD1132,2023-10-22 17:15:44,Asia,Prepaid Voice,Simbox,1,0.5,5.7,170.18,100.17,10,0.0
FRAUD1133,2023-10-23 23:29:14,Europe,Postpaid Data,International Revenue Share Fraud,1,18.1,31.6,142.19,122.07,8,0.0
FRAUD1134,2023-03-15 19:28:21,Europe,Interconnect,Wangiri,1,9.2,11.1,144.88,162.28,12,0.0
FRAUD1135,2023-06-11 17:47:56,Asia,Postpaid Data,International Revenue Share Fraud,1,21.2,5.8,37.58,62.02,8,0.0
FRAUD1136,2023-07-03 20:16:36,Africa,Postpaid Voice,CLI Spoofing,1,4.2,29.4,120.17,79.46,11,0.0
FRAUD1137,2023-04-11 17:17:47,Europe,Postpaid Voice,Simbox,1,8.9,8.9,65.5,320.72,5,0.0
FRAUD1138,2023-04-11 19:57:19,Europe,Postpaid Voice,Subscription Fraud,0,24.9,53.9,198.44,37.62,9,37.62
FRAUD1139,2023-12-13 12:47:00,Europe,Postpaid Voice,Subscription Fraud,1,12.1,1.3,201.88,138.07,6,0.0
FRAUD1140,2023-11-16 04:04:20,Europe,Prepaid Voice,International Revenue Share Fraud,1,6.4,115.2,50.13,109.92,4,0.0
FRAUD1141,2023-11-12 20:42:29,Americas,Postpaid Data,CLI Spoofing,1,5.8,150.2,35.96,300.13,8,0.0
FRAUD1142,2023-12-11 02:08:46,Europe,Prepaid Voice,Subscription Fraud,1,5.0,85.5,137.74,42.04,1,0.0
FRAUD1143,2023-07-29 10:33:42,Europe,Postpaid Data,International Revenue Share Fraud,1,12.7,17.6,61.68,113.32,6,0.0
FRAUD1144,2023-06-20 23:27:14,Asia,Prepaid Data,Wangiri,1,10.6,47.0,70.53,217.78,10,0.0
FRAUD1145,2023-07-22 15:52:46,Asia,Postpaid Voice,CLI Spoofing,1,5.5,5.0,101.0,60.79,11,0.0
FRAUD1146,2023-06-09 20:58:57,Africa,Prepaid Data,Wangiri,1,0.9,6.6,395.83,134.07,1,0.0
FRAUD1147,2023-11-30 05:17:33,Asia,Postpaid Voice,Wangiri,1,26.9,4.4,94.01,298.21,1,0.0
FRAUD1148,2023-01-17 03:09:48,Asia,Prepaid Data,Subscription Fraud,1,13.5,32.1,48.82,279.67,8,0.0
FRAUD1149,2023-11-23 04:43:39,Americas,Interconnect,Simbox,1,12.1,11.4,59.22,65.74,11,0.0
FRAUD1150,2023-09-15 16:37:07,Americas,Postpaid Voice,Simbox,1,17.1,33.5,149.61,135.83,14,0.0
FRAUD1151,2023-11-01 05:34:03,Asia,Postpaid Data,CLI Spoofing,1,13.8,77.2,23.54,128.62,11,0.0
FRAUD1152,2023-12-21 23:28:22,Europe,Interconnect,Wangiri,1,11.6,41.2,37.9,57.47,7,0.0
FRAUD1153,2023-01-24 06:12:39,Americas,Postpaid Voice,Wangiri,1,30.2,22.4,194.72,291.7,6,0.0
FRAUD1154,2023-11-05 15:10:41,Africa,Prepaid Data,CLI Spoofing,1,26.7,3.5,119.58,96.9,8,0.0
FRAUD1155,2023-02-17 17:09:09,Africa,Postpaid Voice,CLI Spoofing,0,12.4,14.8,52.55,19.19,10,19.19
FRAUD1156,2023-08-27 04:21:23,Asia,Postpaid Data,CLI Spoofing,0,24.1,20.3,62.44,70.68,12,70.68
FRAUD1157,2023-10-02 01:01:05,Americas,Postpaid Voice,Wangiri,1,4.7,7.2,132.18,180.01,11,0.0
FRAUD1158,2023-06-04 06:59:39,Americas,Postpaid Data,Subscription Fraud,1,0.6,9.1,22.78,246.34,10,0.0
FRAUD1159,2023-06-05 16:50:50,Asia,Postpaid Data,Subscription Fraud,1,2.7,19.5,237.26,157.55,13,0.0
FRAUD1160,2023-06-29 02:31:19,Europe,Postpaid Voice,Simbox,1,0.5,21.3,207.56,103.77,11,0.0
FRAUD1161,2023-10-17 13:44:44,Europe,Postpaid Voice,International Revenue Share Fraud,1,28.2,3.9,24.94,161.04,11,0.0
FRAUD1162,2023-01-13 03:51:12,Americas,Prepaid Voice,Simbox,1,6.8,56.9,223.93,232.03,13,0.0
FRAUD1163,2023-12-21 15:05:13,Americas,Prepaid Voice,Subscription Fraud,1,7.1,0.1,69.27,129.05,12,0.0
FRAUD1164,2023-09-25 11:14:10,Africa,Postpaid Voice,Wangiri,1,6.2,137.5,194.65,124.76,7,0.0
FRAUD1165,2023-01-13 09:14:05,Europe,Postpaid Voice,Subscription Fraud,1,40.0,9.1,49.96,102.23,6,0.0
FRAUD1166,2023-12-13 08:43:52,Europe,Prepaid Data,Subscription Fraud,1,6.2,26.9,93.98,203.04,12,0.0
FRAUD1167,2023-09-25 08:26:06,Asia,Postpaid Data,Subscription Fraud,0,11.0,11.2,137.11,165.06,10,165.06
FRAUD1168,2023-11-16 01:45:43,Americas,Prepaid Data,International Revenue Share Fraud,1,27.0,3.4,155.0,188.48,12,0.0
FRAUD1169,2023-12-28 17:43:41,Americas,Prepaid Voice,International Revenue Share Fraud,1,57.0,11.0,220.39,86.17,6,0.0
FRAUD1170,2023-04-24 16:15:49,Africa,Prepaid Voice,Subscription Fraud,1,1.3,28.6,23.15,193.3,4,0.0
FRAUD1171,2023-08-14 19:30:33,Europe,Interconnect,Simbox,1,11.6,55.5,195.49,75.37,10,0.0
FRAUD1172,2023-02-04 23:03:41,Asia,Interconnect,Simbox,1,14.0,34.9,100.96,276.06,13,0.0
FRAUD1173,2023-06-05 05:00:24,Americas,Postpaid Voice,Wangiri,1,34.4,1.4,34.95,103.09,14,0.0
FRAUD1174,2023-11-02 14:41:51,Africa,Postpaid Voice,Wangiri,1,4.5,19.7,35.79,51.69,3,0.0
FRAUD1175,2023-10-22 15:09:09,Europe,Prepaid Voice,Wangiri,1,1.3,15.0,54.83,125.16,8,0.0
FRAUD1176,2023-06-17 21:05:10,Europe,Prepaid Data,International Revenue Share Fraud,1,5.4,28.5,263.34,177.35,2,0.0
FRAUD1177,2023-08-13 22:42:04,Americas,Postpaid Voice,Wangiri,0,4.0,2.5,29.31,178.35,7,178.35
FRAUD1178,2023-01-06 22:17:34,Asia,Prepaid Voice,Wangiri,0,1.7,25.0,150.23,180.77,6,180.77
FRAUD1179,2023-09-17 09:28:27,Europe,Prepaid Voice,International Revenue Share Fraud,1,17.0,102.2,157.81,41.65,9,0.0
FRAUD1180,2023-07-19 11:41:34,Americas,Prepaid Data,Subscription Fraud,1,13.8,5.8,193.78,90.34,13,0.0
FRAUD1181,2023-08-17 06:37:31,Europe,Prepaid Data,International Revenue Share Fraud,1,4.2,15.3,92.39,127.96,7,0.0
FRAUD1182,2023-05-26 07:03:19,Americas,Postpaid Data,Wangiri,1,10.9,47.7,197.87,395.58,14,0.0
FRAUD1183,2023-09-06 18:43:36,Europe,Postpaid Voice,Subscription Fraud,1,17.8,8.8,255.81,320.05,3,0.0
FRAUD1184,2023-04-27 04:59:00,Africa,Interconnect,Subscription Fraud,1,7.1,27.7,177.81,111.13,1,0.0
FRAUD1185,2023-10-11 22:28:38,Americas,Prepaid Voice,Simbox,0,15.2,1.3,218.27,166.18,13,166.18
FRAUD1186,2023-01-14 16:36:59,Asia,Postpaid Voice,International Revenue Share Fraud,1,4.1,7.0,274.94,89.92,14,0.0
FRAUD1187,2023-07-30 04:26:23,Asia,Postpaid Data,International Revenue Share Fraud,1,3.5,14.1,21.68,164.67,10,0.0
FRAUD1188,2023-01-22 20:59:07,Asia,Interconnect,International Revenue Share Fraud,1,2.0,18.2,100.95,33.87,10,0.0
FRAUD1189,2023-11-05 06:42:09,Africa,Interconnect,CLI Spoofing,1,4.1,23.2,22.77,138.25,4,0.0
FRAUD1190,2023-01-05 05:17:30,Africa,Prepaid Voice,Simbox,1,5.8,86.8,67.08,64.73,1,0.0
FRAUD1191,2023-10-08 07:16:25,Americas,Postpaid Voice,Wangiri,1,30.7,48.1,103.24,126.57,12,0.0
FRAUD1192,2023-12-15 02:31:33,Americas,Interconnect,Subscription Fraud,0,7.1,30.9,247.17,154.85,14,154.85
FRAUD1193,2023-01-04 00:08:21,Europe,Interconnect,Wangiri,1,6.2,12.9,127.07,137.65,9,0.0
FRAUD1194,2023-07-14 00:32:55,Asia,Prepaid Voice,International Revenue Share Fraud,1,3.9,10.4,104.67,124.43,8,0.0
FRAUD1195,2023-11-12 11:45:55,Asia,Prepaid Voice,International Revenue Share Fraud,1,9.6,6.1,77.07,276.64,3,0.0
FRAUD1196,2023-12-18 23:48:14,Americas,Prepaid Voice,Subscription Fraud,1,2.1,44.5,230.76,246.16,8,0.0
FRAUD1197,2023-09-09 10:38:37,Americas,Prepaid Voice,Wangiri,0,1.7,24.9,128.13,39.42,3,39.42
FRAUD1198,2023-08-18 00:25:38,Europe,Postpaid Data,Wangiri,0,14.9,21.4,75.56,120.23,5,120.23
FRAUD1199,2023-01-29 01:46:28,Americas,Postpaid Voice,CLI Spoofing,1,4.9,35.9,56.02,114.48,8,0.0
FRAUD1200,2023-10-17 02:34:12,Africa,Prepaid Voice,Subscription Fraud,1,31.9,43.4,57.3,150.76,7,0.0
FRAUD1201,2023-01-09 18:15:41,Asia,Prepaid Voice,Wangiri,1,13.6,9.7,137.89,158.3,13,0.0
FRAUD1202,2023-01-06 07:58:45,Africa,Postpaid Voice,Subscription Fraud,1,20.6,1.9,80.76,141.03,4,0.0
FRAUD1203,2023-09-14 18:01:19,Americas,Postpaid Voice,International Revenue Share Fraud,1,0.9,21.6,60.35,25.13,6,0.0
FRAUD1204,2023-10-07 14:26:10,Asia,Postpaid Data,Subscription Fraud,1,20.1,20.9,161.38,44.78,13,0.0
FRAUD1205,2023-01-19 06:29:07,Asia,Postpaid Data,Simbox,1,18.6,35.4,255.08,128.94,11,0.0
FRAUD1206,2023-02-26 03:06:08,Europe,Prepaid Voice,Subscription Fraud,1,11.3,1.1,31.04,320.03,2,0.0
FRAUD1207,2023-06-11 14:01:17,Europe,Interconnect,Subscription Fraud,0,13.4,7.2,43.54,100.46,9,100.46
FRAUD1208,2023-08-16 06:04:49,Africa,Prepaid Data,Simbox,1,2.8,62.6,179.2,165.82,1,0.0
FRAUD1209,2023-09-12 06:08:40,Asia,Interconnect,Wangiri,1,4.4,4.9,29.5,141.33,5,0.0
FRAUD1210,2023-01-16 02:57:23,Europe,Postpaid Voice,CLI Spoofing,1,7.4,22.6,77.32,158.75,2,0.0
